OACI	LATITUDE	LONGITUDE	ALTITUDE
SSRB	21d50'52"S	54d31'40"W	312
SSRE	25d48'4"S	53d30'47"W	501
SSRF	12d45'57"S	39d27'4"W	261
SSRG	24d31'54"S	47d50'25"W	25
SSRK	9d30'49"S	42d59'45"W	489
SSRS	2d45'24"S	42d48'16"W	4
SSRU	31d23'0"S	52d1'58"W	8
SSRZ	30d16'39"S	54d55'31"W	106
SSSB	28d39'11"S	56d1'58"W	75
SSSC	29d41'1"S	52d24'44"W	197
SSSD	28d51'48"S	52d32'26"W	673
SSSG	30d20'42"S	54d16'4"W	144
SSSQ	28d15'32"S	49d54'57"W	1360
SSSS	26d13'16"S	48d33'52"W	15
SSST	29d12'54"S	54d50'32"W	445
SSSZ	23d3'43"S	51d0'50"W	361
SSTB	26d7'58"S	50d18'35"W	780
SSU	23d47'57"S	53d18'50"W	475
SSUV	26d13'54"S	51d4'8"W	752
SSVC	14d54'28"S	40d54'53"W	896
SSVI	26d59'59"S	51d8'29"W	840
SSVL	24d18'59"S	50d39'8"W	796
SSVN	28d56'8"S	51d34'4"W	676
SSVP	33d30'8"S	53d20'39"W	25
SBJE	2d54'24"S	40d21'29"W	27
SSWS	30d32'58"S	53d27'33"W	400
SSXD	27d58'52"S	52d51'49"W	620
SSXX	26d52'32"S	52d22'23"W	910
SSYA	24d6'15"S	49d47'26"W	805
SSZR	27d54'32"S	54d31'20"W	300
SBPG	25d11'4"S	50d8'38"W	789
SWAY	15d43'26"S	51d50'11"W	303
SWBA	18d7'32"S	49d2'34"W	868
SWBC	0d58'51"S	62d55'8"W	34
SWBE	4d3'0"S	40d53'0"W	884
SWBG	15d11'36"S	59d23'7"W	247
SWBH	11d1'1"S	48d36'2"W	265
SWBR	4d24'31"S	59d35'52"W	90
SWCA	4d52'17"S	66d53'51"W	108
SWCB	13d0'32"S	46d46'29"W	670
SWCQ	12d25'18"S	64d15'6"W	169
SWCZ	15d20'41"S	49d36'17"W	598
SWD	14d22'37"S	56d24'2"W	450
SWDN	11d35'43"S	46d50'52"W	730
SWEI	6d38'15"S	69d52'59"W	126
SWEK	13d34'28"S	52d16'14"W	400
SWFN	3d4'22"S	60d1'16"W	62
SWFR	15d33'22"S	47d20'43"W	965
SWFX	11d37'55"S	50d41'18"W	198
SWGI	11d44'21"S	49d7'56"W	360
SWGN	7d13'42"S	48d14'27"W	235
SWHG	17d53'2"S	50d34'2"W	485
SWHP	14d1'10"S	52d9'8"W	459
SWHT	7d32'1"S	63d3'2"W	70
SWII	2d56'1"S	69d41'41"W	40
SWIP	17d41'14"S	48d9'43"W	832
SWIQ	13d33'2"S	48d12'2"W	427
SWJN	11d25'10"S	58d42'6"W	330
SWJW	17d49'48"S	51d46'31"W	771
SWKC	16d2'34"S	57d37'47"W	150
SWKO	4d8'2"S	63d7'52"W	40
SWKQ	9d4'58"S	42d38'40"W	415
SWKT	18d13'1"S	47d54'5"W	796
SWLB	7d15'1"S	64d47'2"W	58
SWLC	17d50'5"S	50d57'22"W	751
SWE	17d33'7"S	52d33'22"W	825
SWW	3d21'25"S	57d42'44"W	21
SWX	17d45'57"S	49d7'22"W	850
SWNH	14d55'59"S	51d2'54"W	250
SWNK	8d50'1"S	67d18'44"W	120
SWNO	3d53'16"S	59d4'42"W	37
SWNQ	14d26'11"S	48d29'31"W	840
SWNR	14d29'1"S	56d46'2"W	445
SWNS	16d21'45"S	48d55'41"W	1112
SBNV	16d37'32"S	49d20'58"W	831
SWOB	2d32'1"S	66d4'2"W	63
SWPG	11d31'1"S	57d20'2"W	400
SWPI	2d40'10"S	56d46'16"W	26
SWPK	16d16'18"S	56d39'4"W	187
SWPL	12d11'54"S	53d22'54"W	330
SWP	11d38'30"S	61d10'52"W	208
SWPR	17d19'9"S	48d20'5"W	781
SWPY	15d33'56"S	54d20'16"W	655
SWPZ	14d7'26"S	46d20'31"W	827
SWRO	8d47'37"S	63d51'29"W	95
SBSI	11d53'6"S	55d35'10"W	374
SWST	10d27'53"S	50d31'7"W	202
SWTO	10d10'26"S	48d55'58"W	330
SWTP	0d25'1"S	65d2'2"W	68
SWTS	14d39'43"S	57d26'38"W	449
SWTY	12d26'2"S	46d24'2"W	597
SWUA	13d20'2"S	50d12'21"W	381
SWUC	11d12'1"S	50d41'2"W	210
SWUD	20d26'45"S	44d48'46"W	820
SWUZ	16d15'42"S	47d58'7"W	996
SWVB	15d0'55"S	59d58'2"W	270
SWVC	9d58'46"S	51d8'32"W	272
SWWA	13d24'16"S	49d9'26"W	366
SWWU	14d31'32"S	49d8'16"W	520
SWX	10d10'13"S	54d57'10"W	283
SWXQ	21d39'46"S	49d43'52"W	480
SWXU	10d38'1"S	68d33'2"W	150
SWXV	14d41'27"S	52d20'57"W	316
SWYN	7d10'20"S	59d50'20"W	60
